st,ct,as,sa
52,1051,Alai,341012
52,1051,Badu,341501
52,1051,Bagot,341529
52,1051,Bajwas,341524
52,1051,Bari Khatu,341301
52,1051,Barwala,341550
52,1051,Basni,341021
52,1051,Besroli,341520
52,1051,Bhadwasi,341013
52,1051,Bhagwanpura Nagaur,341536
52,1051,Bhakri,341522
52,1051,Bidiad,341521
52,1051,Borawar,341502
52,1051,Bursu,341539
52,1051,Chandarun,341530
52,1051,Chhoti Khatu,341302
52,1051,Chitawa,341537
52,1051,Degana,341503
52,1051,Deh,341022
52,1051,Dhankoli,341516
52,1051,Didwana Dhan Mandi,341303
52,1051,Didwana H O,341303
52,1051,Didwana Station Road,341303
52,1051,Gachhipura,341504
52,1051,Ghatwa,341523
52,1051,Gogalao,341011
52,1051,Gotan,342902
52,1051,Gudha Salt,341525
52,1051,Harsore,341515
52,1051,I E Bidiad,341542
52,1051,Idwa,341541
52,1051,Industrial Area,341509
52,1051,Jael,341023
52,1051,Jasnagar,341518
52,1051,Jaswantgarh Nagaur,341304
52,1051,Jawla,341534
52,1051,Kalru,341546
52,1051,Kalwa,341548
52,1051,Kathoti,341032
52,1051,Katyasani,341547
52,1051,Khajwana,341028
52,1051,Khinwsar,341025
52,1051,Khunkhuna,341318
52,1051,Koliya,341305
52,1051,Kuchaman,341508
52,1051,Kuchaman Road,341509
52,1051,Kuchera,341024
52,1051,Kukanwali,341519
52,1051,Ladariya,341517
52,1051,Ladnun,341306
52,1051,Ladnun Pahalipatti,341306
52,1051,Ladnun Rahugate,341306
52,1051,Ladnun Railway Station,341306
52,1051,Lampolai,341545
52,1051,Lunwa,341538
52,1051,Makrana H O,341505
52,1051,Makrana Industrial Area,341505
52,1051,Makrana S B,341505
52,1051,Malar,341313
52,1051,Manana,341540
52,1051,Mandore,341304
52,1051,Manglana,341535
52,1051,Maroth,341507
52,1051,Marwar Mundwa,341026
52,1051,Maulasar,341506
52,1051,Merta City,341510
52,1051,Merta Kacheri,341510
52,1051,Merta Road,341511
52,1051,Merta Rs,341510
52,1051,Mindha,303610
52,1051,Mithki,341533
52,1051,Mokala,341544
52,1051,Nagaur Banshiwala Temple,341001
52,1051,Nagaur City,341001
52,1051,Nagaur H O,341001
52,1051,Nagaur Loharpura,341001
52,1051,Nagaur Police Line,341001
52,1051,Narainpura,341527
52,1051,Nimbi Jodhan,341316
52,1051,Nimod,341526
52,1051,Padu Kallan,341031
52,1051,Padu Khurd,341035
52,1051,Palanipet,341002
52,1051,Paltangate Kuchaman,341508
52,1051,Panchwa,341528
52,1051,Parbatsar,341512
52,1051,Pargatsar K C,341512
52,1051,Peelwa Nagaur,341532
52,1051,Rajod,341033
52,1051,Ratau,341317
52,1051,Ren,341514
52,1051,Rid,341531
52,1051,Riyan,341513
52,1051,Rol,341027
52,1051,Roon,341034
52,1051,Sri Balaji,341029
52,1051,Station Road,341508
52,1051,Tarnau,341030
52,1051,Thanwla,305026
52,1051,Tilanesh,341549
52,1051,Toshina,341319
52,1051,Achina,341025
52,1051,Agoonta,341305
52,1051,Ajawa,341303
52,1051,Akala Hamiran,341025
52,1051,Akeli 'a',341510
52,1051,Akeli 'b',341024
52,1051,Akora,341022
52,1051,Alaniyawas,341513
52,1051,Alatawa,341504
52,1051,Ambapa,341303
52,1051,Anandpura,341508
52,1051,Antroli Khurd,341514
52,1051,Anwaliyasar,341001
52,1051,Araksar,341519
