st,ct,as,sa
54,1052,Achanputhur,627801
54,1052,Adaikalapuram,628217
54,1052,Akkanaickenpatti,628309
54,1052,Aladiyur,627434
54,1052,Alagesapuram,628002
54,1052,Alancholai,629103
54,1052,Alangulam (tvl),627851
54,1052,Alantalai,628221
54,1052,Alwar Kurichi,627412
54,1052,Alwar Tinunagari,628612
54,1052,Ambalavanapuram,627425
54,1052,Ambasamudram,627401
54,1052,Ambasamudram East,627401
54,1052,Ambasamudram H O,627401
54,1052,Ammanpuram,628201
54,1052,Anaikulam,627125
54,1052,Anandapuram (tvl),628701
54,1052,Anavaradanallur,627302
54,1052,Angadi,627401
54,1052,Arampannai,628625
54,1052,Ariyanayagipuram,627901
54,1052,Ariyanayagipuram Pettai,627603
54,1052,Arumuganeri,628202
54,1052,Asirvadhapuram,628613
54,1052,Athimarathupatti,628051
54,1052,Autoor,628151
54,1052,Avudayanur,627431
54,1052,Ayakkarambalam Ii,627431
54,1052,Ayikudi,627852
54,1052,Brahmadesam (tvl),627413
54,1052,Burkitmanagaram,627351
54,1052,Campellabad,628614
54,1052,Central Govt Servants Cly,628003
54,1052,Cherakulam,628627
54,1052,Cheranmahadevi,627414
54,1052,Chidambaranagar,628008
54,1052,Chintamani,627855
54,1052,Chockamppatti,627756
54,1052,Chokkampatti,627765
54,1052,Christianagaram,628203
54,1052,Collectorate,627009
54,1052,Courtallam,627802
54,1052,Courtallam Bus Stand,627802
54,1052,Devanallur,627502
54,1052,Devarkulam,627951
54,1052,Devasthanam,628215
54,1052,Dhalapathisamudram,627101
54,1052,Dohnavur,627102
54,1052,East Pandavarmangalam,627727
54,1052,Elathur,627803
54,1052,Ellanaickenpatti,627251
54,1052,Eppodumvendran,627712
54,1052,Eral,628801
54,1052,Eruvadi Tirunelveli,627103
54,1052,Estate,628004
54,1052,Gandhi Nagar Tirunelveli,627008
54,1052,Gangaikondan,627352
54,1052,Gibbsonpuram,628002
54,1052,Goapalasamudram,627451
54,1052,Great Cotton Road,628002
54,1052,Heavy Water Project Colony,628007
54,1052,Idaikal (tenkasi),627804
54,1052,Idaikal Ambasamudram,627821
54,1052,Idaiyankudi (tvl),628651
54,1052,Idinthakarai,627104
54,1052,Ilanji,627805
54,1052,Ilavengal,627723
54,1052,Ilayasasanendal,627713
54,1052,Industrial Colony Pettai,627010
54,1052,Ittamozhi,628652
54,1052,Jawahar Nagar,627007
54,1052,Kachanvilai,628626
54,1052,Kadambur (tvl),627714
54,1052,Kadayam,627415
54,1052,Kadayanallur,627751
54,1052,Kadayanallur Bazaar,627751
54,1052,Kadayanallur Pettai,627751
54,1052,Kailasapuram Tvl,627001
54,1052,Kalakad,627501
54,1052,Kaliavoor,627253
54,1052,Kalingapatti,627724
54,1052,Kalisapuram (tuticorin),628301
54,1052,Kalladaikurichi Market,627416
54,1052,Kallidaikurichi,627416
54,1052,Kalugumalai,627752
54,1052,Kanakkapillaivalasi,627816
54,1052,Kanam,628225
54,1052,Kannanallur,627126
54,1052,Karaichittupudur,628659
54,1052,Karaikurichi,627417
54,1052,Karandaneri,627153
54,1052,Karivalam Vandanallur,627753
54,1052,Karukkalpatti,627955
54,1052,Karunkadal,628629
54,1052,Karunkulam,628615
54,1052,Kasimajorpuram,627802
54,1052,Katchanvilai,628626
54,1052,Kathur Puvalur,627706
54,1052,Kavalkinar,627105
54,1052,Kayalpatnam,628204
54,1052,Kayamoli,628205
54,1052,Kayatar,627952
54,1052,Kila Iral,627908
54,1052,Kilambur,627418
54,1052,Kilapavur,627806
54,1052,Kilashanmugapuram,628002
54,1052,Kilnilidanallur,627957
54,1052,Kittilapuram,627304
54,1052,Kizhanatham,627353
54,1052,Kizhapuliyur,627814
54,1052,Kodayar Melthangal,627419
54,1052,Koliyankulam,627120
54,1052,Kommadikottai,628653
54,1052,Kongarayakurichi,628624
54,1052,Koothankul,627132
54,1052,Korampallam,628101
54,1052,Kottaikarungulam,627123
54,1052,Kovilpatti,627702
54,1052,Kovilpatti H O,627701
54,1052,Kovilpatti Loyal Mills,627701
54,1052,Kovilpatti Town,627701
54,1052,Kovilpatti Veedhi,627701
54,1052,Krishnapuram,627759
54,1052,Krishnapuram Tirunelveli,627759
54,1052,Kulasekharapatnam,628206
54,1052,Kulathur Tirunelveli,627903
54,1052,Kulavanikarpuram,627002
54,1052,Kundankulam,627106
54,1052,Kurukkalpatti,627955
54,1052,Kurukkuchalai,627722
54,1052,Kuruvikulam,627754
54,1052,Kuttapuli,627127
54,1052,Lakshmipuram,627702
54,1052,Lakshmipuram Kovilpatti,627702
54,1052,M Puliyangulam,626716
54,1052,Madurai Road,627001
54,1052,Maharajanagar,627011
54,1052,Manadu Thandupattu,628208
54,1052,Manalur,627771
54,1052,Manappad,628209
54,1052,Mandram,627001
54,1052,Manimuthar Project,627421
54,1052,Maniyachi R S,628305
54,1052,Manjolai,627420
54,1052,Mannanvilai,628218
54,1052,Manur Tiruneveli,627201
54,1052,Marudanvalavoo,628307
54,1052,Maruthakulam,627151
54,1052,Mavadi,627107
54,1052,Mavadikkal,627759
54,1052,Megnanapuram,628210
54,1052,Melagaram,627818
54,1052,Melakadayanallur,627759
54,1052,Melanilidanallur,627953
54,1052,Melapalayam,627005
54,1052,Melapalayam Bazaar,627005
54,1052,Melapuliyur,627811
54,1052,Melaseval,627452
54,1052,Melatiruchendur,628222
54,1052,Melautoor,628153
54,1052,Melur Tuticorin,628002
54,1052,Mettur,627436
54,1052,Millerpuram,628003
54,1052,Minatchipuram,627001
54,1052,Mirankulam,628630
54,1052,Mudalur,628702
54,1052,Mudittanendal,628102
54,1052,Mukkani,628154
54,1052,Mukkudal,627601
54,1052,Mukuperi,628616
54,1052,Mulakaripatti,627354
54,1052,Mullikulam,627755
54,1052,Munanjipatti,627355
54,1052,Munnirpallam,627356
54,1052,Munradaippu,627152
54,1052,Murappanad,627254
54,1052,Murli,628513
54,1052,Murugankurichi,627002
54,1052,Muthiahpuram,628005
54,1052,Muthukrishnapuram,627759
54,1052,Naduvisipatli,627902
54,1052,Nagalapuram,627904
54,1052,Nainaragaram,627820
54,1052,Nainarkoil,623705
54,1052,Nallatinputhur,627716
54,1052,Nallur Tenkasi,627853
54,1052,Nalumavadi,628211
54,1052,Nalumukku,627427
54,1052,Nambinagar,627108
54,1052,Nanguneri,627108
