st,ct,as,sa
49,765,Adagaon Bo,768040
49,765,Agalpur Bo,768029
49,765,Ainlapali,768104
49,765,Ambabhana So,768031
49,765,Ammthi Bo,768042
49,765,Areigudi,768104
49,765,Attabira So,768027
49,765,B. Katapali Bo,768038
49,765,B. Tileimal Bo,768029
49,765,Babebira Bo,768027
49,765,Badabrahmani Pssk,768032
49,765,Badapali Bo,768032
49,765,Baddausen Bo,768032
49,765,Badikata Bo,768036
49,765,Bagbadi,768028
49,765,Banda Bo,768038
49,765,Banda-kharmunda Bo,768038
49,765,Bandhapali Bo,768029
49,765,Banhar Bo,768027
49,765,Banjipali Bo,768052
49,765,Bara Bo,768045
49,765,Baramkela Bo,768104
49,765,Barapadar,768104
49,765,Bardol So,768038
49,765,Bargarh,768028
49,765,Bargarh Bazar Ndt So,768028
49,765,Bargarh Court Ndt So,768028
49,765,Bargarh-bargaon Bo,768038
49,765,Barguda Pssk,768029
49,765,Barhaguda Bo,768040
49,765,Barihapali Pssk,768049
49,765,Barpali So,768029
49,765,Bartunda Bo,768039
49,765,Bausenmura Bo,768033
49,765,Beherapali Bo,768038
49,765,Bhadigaon Bo,768038
49,765,Bhainatora Bo,768045
49,765,Bhainsadhara Bo,768042
49,765,Bhandarpuri Bo,768042
49,765,Bhatigaon Bo,768029
49,765,Bhatli So,768030
49,765,Bhatli-badmal Bo,768030
49,765,Bheden So,768104
49,765,Bhengrajpur Bo,768039
49,765,Bheunria Bo,768036
49,765,Bhoipali Bo,768103
49,765,Bhubaneswarpur Bo,768039
49,765,Bhukta So,768045
49,765,Bichuan Bo,768030
49,765,Bijadhol Bo,768042
49,765,Bijayapali Bo,768029
49,765,Bijepur So,768032
49,765,Bilaspur Bo,768042
49,765,Birjam Bo,768034
49,765,Birmal Bo,768029
49,765,Bisipali Bo,768049
49,765,Boden Bo,768036
49,765,Budamal Bo,768036
49,765,Bugbuga Bo,768027
49,765,Burkel Bo,768036
49,765,Chadeigaon Bo,768030
49,765,Chakarkend,768028
49,765,Chandibhata Bo,768042
49,765,Chandipali Pssk,768038
49,765,Chantipali Bo,768035
49,765,Chendeikela Bo,768050
49,765,Chhetgaon Pssk,768039
49,765,Chhuriapali Bo,768033
49,765,Chichinda Bo,768104
49,765,Chikhili Pssk,768037
49,765,Dahigaon Bo,768036
49,765,Dahita Bo,768036
49,765,Dang Bo,768028
49,765,Dangabahal Bo,768037
49,765,Dekulba Bo,768103
49,765,Deogaon Bo,768038
49,765,Deshbhatli Bo,768102
49,765,Dhaba Bo,768042
49,765,Dhanger Bo,768040
49,765,Diptipur Bo,768035
49,765,Dulampur Bo,768111
49,765,Dungri Bo,768052
49,765,Dunguri Lsq Colony Campus So,768052
49,765,Firingimal Pssk,768037
49,765,Gaisama Bo,768040
49,765,Gaisilet So,768037
49,765,Ganiapali Bo,768049
49,765,Garbhona Bo,768033
49,765,Ghess So,768034
49,765,Godbhaga So,768111
49,765,Gondturum So,768115
49,765,Gopalpur Bo,768030
49,765,Gopeipali Bo,768029
49,765,Gourenmunda Bo,768037
49,765,Gourmal Bo,768042
49,765,Govindpur Bo,768028
49,765,Guderpali Bo,768035
49,765,Gudesira Bo,768028
49,765,Gunthiapali Pssk,768032
49,765,Guthuguda Bo,768042
49,765,Halupali Bo,768038
49,765,Hatisar Bo,768030
49,765,Hirlipali Bo,768027
49,765,J. Sirgida Bo,768028
49,765,Jagalpat Bo,768037
49,765,Jagdalpur Bo,768036
49,765,Jamla So,768049
49,765,Jamseth Bo,768050
49,765,Jamurda Bo,768038
49,765,Jamutbahal Bo,768037
49,765,Janged Bo,768027
49,765,Janhapada Bo,768027
49,765,Jaring Bo,768032
49,765,Jatla Bo,768028
49,765,Jhar Bo,768034
49,765,Jharbandh So,768042
49,765,Jharpali Bo,768034
49,765,Jhikijhiki Bo,768030
49,765,Jhilminda Bo,768103
49,765,Jhitiki Bo,768050
49,765,Jokhipali Bo,768048
49,765,K. Katabahal Bo,768036
49,765,Kadobahal Bo,768102
49,765,Kainsir Bo,768029
49,765,Kalangapali Bo,768034
49,765,Kalapani Bo,768040
49,765,Kamgaon Bo,768038
