st,ct,as,sa
49,786,Agren,766106
49,786,Amguda,766111
49,786,Amnara,766105
49,786,Babebir,766118
49,786,Badi,766107
49,786,Badmaheswar,766107
49,786,Beltukri,766104
49,786,Bhainsadani,766111
49,786,Bhaleswer,766104
49,786,Bharuamunda,766108
49,786,Bhella,766106
49,786,Bhuliasikun,766107
49,786,Birighat,766118
49,786,Biromal,766104
49,786,Bisora,766104
49,786,Boirgaon,766111
49,786,Budhikomna,766106
49,786,Chalana,766108
49,786,Chatiaguda,766108
49,786,Chindaguda,766107
49,786,Damjhar,766111
49,786,Darlimunda,766105
49,786,Darlipara,766105
49,786,Dharambandha,766105
49,786,Duajhar,766118
49,786,Dumerpani,766104
49,786,Gochhaguda,766108
49,786,Godal,766108
49,786,Godfurla,766105
49,786,Goimundi,766107
49,786,Gorla,766108
49,786,Hatibandha,766108
49,786,Jampani,766105
49,786,Jatgarh,766105
49,786,Jayabahal,766118
49,786,Jenjera,766104
49,786,Jhagrahi,766106
49,786,Karanbahali,766108
49,786,Karangamal,766118
49,786,Karlakot,766111
49,786,Kendetara,766106
49,786,Kendubahara,766105
49,786,Kendumunda,766108
49,786,Kendupati,766118
49,786,Khasbahal,766107
49,786,Kirejhola,766111
49,786,Kirkita,766118
49,786,Kodomeri,766104
49,786,Konabira,766106
49,786,Kuliabandh,766104
49,786,Kureswar,766106
49,786,Kurumpuri,766105
49,786,Kusumjore,766108
49,786,Kutenchuan,766105
49,786,Lakhana,766105
49,786,Larka,766118
49,786,Litisargi,766111
49,786,Mahulibhata,766105
49,786,Makhapadar,766118
49,786,Mangarapalli,766104
49,786,Maraguda,766105
49,786,Michhapali,766106
49,786,Motanuapada,766105
49,786,Nagpada,766111
49,786,Nangalbod,766108
49,786,Nawapara Tanwat Mdg,766105
49,786,Nilji,766108
49,786,Palsada,766107
49,786,Panchampur,766105
49,786,Paraskhol,766105
49,786,Parkod,766104
49,786,Pendraban,766106
49,786,Pharsara,766111
49,786,Rajna,766106
49,786,Ranimunda,766108
49,786,Sahajat,766105
49,786,Saipala,766105
49,786,Sarbang,766105
49,786,Sargadi,766107
49,786,Sialati,766105
49,786,Silva,766105
49,786,Singjhar,766108
49,786,Sunapur,766111
49,786,Tanwat,766105
49,786,Tarbod,766105
49,786,Timanpur,766108
49,788,Adajori,765015
49,788,Agula,765020
49,788,Akhusingi,765025
49,788,Ambabadi,765025
49,788,Antamoda,765017
49,788,Asada,765026
49,788,B.alubadi,765017
49,788,B.bandili,765020
49,788,B.gotiguda,765019
49,788,B.haluva,765002
49,788,B.khillapadar,765017
49,788,Badaguda,765017
49,788,Badapankal,765026
49,788,Bagusala,765033
49,788,Bankamba,765015
49,788,Bankili,765029
49,788,Batalpur,765019
49,788,Batiapada,765019
49,788,Bellamguda,765026
49,788,Bhairabguda,765020
49,788,Bhoimada,765029
49,788,Bichikote,765024
49,788,Biripadar,765025
49,788,Bissamcuttack,765019
49,788,Budubali,765020
49,788,Buduni,765018
49,788,Buthingi,765023
49,788,Chalakamba,765033
49,788,Chandgiri,765015
49,788,Chatikona,765019
49,788,Chinasari,765022
49,788,D.panga,765016
49,788,Dambasora,765033
49,788,Dangaladi,765017
49,788,Dangasorada,765020
49,788,Derigam,765024
49,788,Dhepaguda,765026
49,788,Dohikhal,765020
49,788,Dondili,765017
49,788,Dongasil,765015
49,788,Dukum,765019
49,788,Dumuriguda,765018
49,788,Dumurineli,765019
49,788,Durgi,765019
49,788,G.gulumunda,765029
49,788,G.laxmipur,765024
49,788,G.padar,765034
49,788,G.seshkhal,765017
49,788,Gajigaon,765002
49,788,Ghanatri,765033
49,788,Godiabandha,765025
49,788,Godiakhal,765022
49,788,Godibali,765015
49,788,Gogupada,765029
49,788,Gorakhpur,765015
49,788,Guluguda,765025
49,788,Gulunthi,765029
49,788,H.donga,765019
49,788,Halva,765002
49,788,Hanumanthpur,765020
49,788,Hatamuniguda,765020
49,788,Hatikhamba,765029
49,788,J.d.pentho,765002
49,788,J.k.pur,765017
49,788,J.k.pur Bazar,765017
49,788,Jaganathpur,765034
49,788,Jagdalpur,765020
49,788,Jaltar,765022
49,788,Jarapa,765020
49,788,Jathili,765025
49,788,Jhigidi,765019
49,788,Jilunda,765017
49,788,K.dhamuni,765019
49,788,K.golmi,765019
49,788,K.gumma,765002
49,788,K.kota,765029
49,788,K.singhpur,765016
49,788,Kachapai,765019
49,788,Kankubadi,765019
49,788,Karini,765025
49,788,Karlaghati,765026
49,788,Karubai,765017
49,788,Katiki,765029
49,788,Kerada,765002
49,788,Khabariguda,765025
49,788,Khariguda,765026
