st,ct,as,sa
57,965,Abbot Mount,262525
57,965,Agar,262534
57,965,Aincholi,262530
57,965,Askote,262543
57,965,Badabey,262574
57,965,Baluwakote,262576
57,965,Bansbazar,262555
57,965,Barabey,262574
57,965,Barakote,262527
57,965,Bering,262531
57,965,Bharkatiya,262520
57,965,Champawat,262523
57,965,Dasaithal,262573
57,965,Degree College,262502
57,965,Devidhura,262580
57,965,Dewthal,262542
57,965,Dhar Chula,262545
57,965,Dharamgarh,262571
57,965,Didihat,262551
57,965,Ganai Gangoli,262532
57,965,Gangolihat,262522
57,965,Garbyang,262546
57,965,Gurna,262529
57,965,Jaulijibi,262544
57,965,Jhuaghat,262526
57,965,Kanali Chhina,265441
57,965,Kheti Khan,262528
57,965,Lohaghat,262524
57,965,Merthi,262550
57,965,Munakote,262519
57,965,Munsiari,262554
57,965,Muwani,262572
57,965,Nakote,262561
57,965,Pangu,262547
57,965,Pankhu,262533
57,965,Pithoragarh Ho.,262501
57,965,Quitee,262575
57,965,Tejam,262553
57,965,Thal,262552
57,965,Wadda,262521
57,965,Adichaura,262551
57,965,Ajera,262543
57,965,Algara,262542
57,965,Atalgaon,262551
57,965,Badari,262521
57,965,Bagartoli,262521
57,965,Bagjibala,262551
57,965,Baikote,262544
57,965,Bajani,262551
57,965,Balgari,262552
57,965,Baling(s),262545
57,965,Baltari,262521
57,965,Bamdoli,262542
57,965,Bandarlima,262541
57,965,Bankote,262532
57,965,Bans,262501
57,965,Bansbagar,262555
57,965,Banspatan,262532
57,965,Barabey Gds So,262574
57,965,Baralu,262521
57,965,Baram,262544
57,965,Baret,262552
57,965,Barmau,262501
57,965,Barsayat,262552
57,965,Basaur,262544
57,965,Baste,262501
57,965,Batgari,262532
57,965,Baun(s),262545
57,965,Bauna,262554
57,965,Belkote,262531
57,965,Beltari,262520
57,965,Bera,262529
57,965,Berinag,262531
57,965,Bhainskote,262553
57,965,Bhanara,262551
57,965,Bhandarigaon,262552
57,965,Bhantarh,262552
57,965,Bharkatia,262520
57,965,Bhateri,262521
57,965,Bhatigaon,262552
57,965,Bhauri,262501
57,965,Bhulgaon,262501
57,965,Bhurmuni,262501
57,965,Bhuwaneshwar,262522
57,965,Bichhul,262501
57,965,Bilai,262520
57,965,Bin,262501
57,965,Binayak,262552
57,965,Birgoli,262522
57,965,Bisabajerh,262501
57,965,Bisharh,262502
57,965,Bishonakhan,262541
57,965,Borabunga,262551
57,965,Boragaon,262551
57,965,Boyal,262522
57,965,Bundi(s),262547
57,965,Bungachinna,262542
57,965,Bungli,262522
57,965,Burfu(s),262554
57,965,Chahaj,262522
57,965,Chalma Chilasu,262547
57,965,Chamachaur,262534
57,965,Chamali,262530
57,965,Chamu,262542
57,965,Chandak,262501
57,965,Chankana,262531
57,965,Chanoli,262541
57,965,Charandeo,262541
57,965,Charchum,262576
57,965,Chaubati,262551
57,965,Chaukori,262531
57,965,Chauna,262534
57,965,Chaunala,262522
57,965,Chaupata,262501
57,965,Chaurpal,262522
57,965,Chausal,262543
57,965,Cherra,262501
57,965,Chingri,262529
57,965,Chitgal,262522
57,965,Collectorate,262501
57,965,Dangigaon,262552
57,965,Dangti,262543
57,965,Dar,262545
57,965,Dashaithal,262573
57,965,Dashauli,262533
57,965,Daubans,262501
57,965,Daulaupreti,262534
57,965,Daulawalia,262522
57,965,Daura,262541
57,965,Dekuna,262553
57,965,Deoraripant,262532
57,965,Devinagar,262531
57,965,Dewalthal,262542
57,965,Dhamigaon,262555
57,965,Dhapna,262532
57,965,Dharamghar,262571
57,965,Dharchula,262545
57,965,Dharidhumlakote,262532
57,965,Dhaulkanda,262501
57,965,Dhunamani,262554
57,965,Dhungatoli,262576
57,965,Digtoli,262501
57,965,Dor,262553
57,965,Dugai Agar,262522
57,965,Dugtu(s),262545
57,965,Dummar,262554
57,965,Dungara,262501
57,965,Dungri,262555
57,965,Duni,262522
57,965,Fultari,262576
57,965,Ganura,262522
57,965,Garali,262544
57,965,Garguwa,262545
57,965,Garhgaon,262501
57,965,Gartir,262531
57,965,Gaulchaura,262532
57,965,Gaunch,262501
57,965,Gaurihat,262521
57,965,Ghingrani,262543
57,965,Ghorasil,262532
57,965,Go,262545
57,965,Gobrari,262552
57,965,Govarsa,262541
57,965,Gudauli,262541
57,965,Guiyyan,262576
57,965,Gunji,262546
57,965,Guptari,262522
57,965,Gurburani,262531
57,965,Guwal,262534
57,965,Hachila,262541
57,965,Hajeti,262552
57,965,Himtarh,262529
57,965,Hokra,262553
