st,ct,as,sa
56,894,Bahraich City,271801
56,894,Bahraich H O,271801
56,894,Barauli,271806
56,894,Barnapur,271825
56,894,Bhaigaha,271827
56,894,Bhinga,271831
56,894,Biseshwarganj (bahraich),271821
56,894,Chhawani Bazar,271801
56,894,Chitaura,271823
56,894,Fakahrpur,271902
56,894,Gangwala,271829
56,894,Gaudara,271905
56,894,Gudari,271801
56,894,Huzurpur,271872
56,894,Ikauna,271845
56,894,Jarwal,271904
56,894,Jarwal Road,271901
56,894,Kailashpuri,271864
56,894,Kaisarganj(bahraichi),271903
56,894,Mahsi,271824
56,894,Matera,271882
56,894,Mihinpurwa,271855
56,894,Payagpur,271871
56,894,Rampurwa,271826
56,894,Risia,271875
56,894,Shivpur,271880
56,894,Sonwa,271822
56,894,Ailiha,271870
56,894,Ailo,271871
56,894,Aliabulbul,271801
56,894,Amwa Molvi,271882
56,894,Amwa Pokhar,271865
56,894,Arai Umari,271904
56,894,Argorwa,271865
56,894,Aswa Mohd.pur,271882
56,894,Babaganj,271881
56,894,Babhnanpurwa,271903
56,894,Babkapur,271902
56,894,Badholi,271904
56,894,Badrauli,271903
56,894,Bahraich,271801
56,894,Bahraich Rs,271801
56,894,Baibahi,271830
56,894,Bakaina Bazar,271851
56,894,Balai Goan,271855
56,894,Balbhaddrapur,271875
56,894,Balchandpur,271902
56,894,Baldoopurwa,271830
56,894,Balha,271865
56,894,Balsinghpur,271855
56,894,Bamiyari,271902
56,894,Banjaria,271865
56,894,Bankashi,271865
56,894,Bardaha,271830
56,894,Barkharia,271841
56,894,Basanera,271871
56,894,Basantapur,271830
56,894,Baundi,271902
56,894,Begampur,271801
56,894,Belhan,271855
56,894,Belwa Padum,271870
56,894,Bhabnoti Shankarpur,271825
56,894,Bhaggarwa,271872
56,894,Bhangha,271872
56,894,Bhartha,271901
56,894,Bhaukhara,271882
56,894,Bhausawan,271801
56,894,Bhawaniapur,271830
56,894,Bhilora Basu,271902
56,894,Bichhiya,271841
56,894,Birahimpur,271903
56,894,Bisheswarganj,271821
56,894,Bitania,271830
56,894,Botania,271865
56,894,Boundi,271830
56,894,Bulbul Newaj,271882
56,894,Chafaria Bazar,271841
56,894,Chahalwa,271841
56,894,Chakujot,271870
56,894,Chamarpurwa,271865
56,894,Chandanpur K. Pur,271865
56,894,Charda,271881
56,894,Chaukhariya,271801
56,894,Chhwani Bazar,271801
56,894,Chilwaria,271870
56,894,Chittuara,271801
56,894,Chok Sahar,271851
56,894,Curaipurwa,271851
56,894,Dahaura,271902
56,894,Dandey Kuinya,271875
56,894,Dargah,271801
56,894,Daulatpur,271855
56,894,Deorania,271875
56,894,Devra,271881
56,894,Dhannigaon,271865
56,894,Dharampur,271855
56,894,Dharmanpur,271875
56,894,Dharmapur,271855
56,894,Dhauli,271871
56,894,Diha,271801
56,894,Dihwa,271875
56,894,Fakirpuri,271841
56,894,Farda Sumerpur,271871
56,894,Fattepur,271825
56,894,Gadamar Kuurd,271825
56,894,Gaighat,271865
56,894,Gajadharpur,271902
56,894,Gandara,271903
56,894,Ganga Jamuni,271821
56,894,Gangwal,271821
56,894,Garethi Gurudutt Singh,271851
56,894,Gaurapipra,271855
56,894,Girdharpur,271865
56,894,Girijapuri Coloney,271841
56,894,Goorh,271855
56,894,Gopchandpur,271825
56,894,Gopia,271855
56,894,Gorahia,271903
56,894,Gotutti,271875
56,894,Govindpur Pandit,271865
56,894,Gudari Bazar,271801
56,894,Gujra,271872
56,894,Gureharipur,271902
56,894,Gurghutta,271865
56,894,Haiveriya,271872
56,894,Handa Basehri,271865
56,894,Harchanda,271904
56,894,Hardi,271825
56,894,Hardutt Nagar,271875
56,894,Harkhapur,271855
56,894,Huzoorpur,271872
56,894,Imilia,271870
56,894,Intaha,271882
56,894,J. Bhawanipur,271865
56,894,Jagtapur,271872
56,894,Jataura,271901
56,894,Jhingha Road,271801
56,894,Jiganiamahipal,271872
56,894,Jot Chandpara,271824
56,894,Kakraha,271855
56,894,Kakri,271865
56,894,Kalpipara,271801
56,894,Kandra,271875
56,894,Kapoorpur,271824
56,894,Karikot,271841
56,894,Kashijot,271871
56,894,Katghara Kala,271870
56,894,Katka Bhagatpurwa,271903
56,894,Katra Bahadurpur,271801
56,894,Katraniaghat,271841
56,894,Kaudha,271902
56,894,Kewalpur,271881
56,894,Khaira Dhaukal,271851
56,894,Khaira Kala,271830
56,894,Khairabazar,271902
56,894,Khanpur Mallah,271821
56,894,Khapurwa,271902
56,894,Kharighat,271851
56,894,Khariha,271821
56,894,Khasha Mohd.pur,271825
