st,ct,as,sa
56,941,Ailum,247771
56,941,Alipur Kheri,251301
56,941,Babri,251305
56,941,Baghera,251306
56,941,Bara Bazar,247776
56,941,Basara,251310
56,941,Bhopa,251308
56,941,Budhana,251309
56,941,Charthawal,251311
56,941,Gandhi Colony,251001
56,941,Gangarampura,251001
56,941,Jalalabad (muzaffarnagar),247772
56,941,Jhinjhana,247773
56,941,Kairana,247774
56,941,Kandhala,247775
56,941,Khalapar,251001
56,941,Khatauli,251201
56,941,Kutchery,251001
56,941,Mansurpur,251203
56,941,Mirnapur,251315
56,941,Morna,251316
56,941,Muzaffarnagar,251001
56,941,Muzaffarnagar City,251002
56,941,Muzaffarnagar H O,251001
56,941,New Mandi,251001
56,941,Rohana Mills,251202
56,941,Shahpur (m Nagar),251318
56,941,Shamli,247776
56,941,Shamli Mandi,247776
56,941,Shamli Road,247776
56,941,Shamli S Mill,247776
56,941,Sisauli,251319
56,941,Thana Bhawan,247777
56,941,Un,247778
56,941,Agarwal Paper Mill,251001
56,941,Alipur Aterna,251305
56,941,Anandpuri Po,251001
56,941,Antwara,251201
56,941,Badhai Kalan,251202
56,941,Badhai Khurd,251202
56,941,Badheo,247776
56,941,Badheri,251307
56,941,Badiwala,251327
56,941,Baghra,251306
56,941,Bagowali Edso,251001
56,941,Bahawari,247776
56,941,Bajidpur Kawali,251314
56,941,Balwa,247776
56,941,Balwa Kheri,247772
56,941,Banat Edso,247776
56,941,Banti Khera,251305
56,941,Bara Bazar Shamli,247776
56,941,Barkali,251202
56,941,Barkata,251305
56,941,Barla Po,251307
56,941,Barsoo,251201
56,941,Basera Po,251310
56,941,Beenra,247774
56,941,Behra Assa,251314
56,941,Behra Thru,251308
56,941,Behupura,251316
56,941,Belra,251308
56,941,Bhainswal,247776
56,941,Bhaisani Islampur,247777
56,941,Bhajju,251319
56,941,Bhanera Jat,251319
56,941,Bhanera Udda,247777
56,941,Bhangela,251201
56,941,Bharsi,247771
56,941,Bhikki,251203
56,941,Bhokarheri,251316
56,941,Bhooma,251315
56,941,Bhoora,247774
56,941,Bhoora Khurd,251319
56,941,Bhopa Po,251308
56,941,Bhopa Road,251001
56,941,Bhora Kalan Edso,247776
56,941,Biral,247771
56,941,Biralasi,247772
56,941,Bitawada,251305
56,941,Brahmpuri Po,251001
56,941,Budha Khera,247772
56,941,Budhana Lsg,251305
56,941,Budina Kalan,251301
56,941,Budina Khurd,251306
56,941,Butrara,251305
56,941,Chand Samad,251201
56,941,Chand Seena,251201
56,941,Chandena Mal,247772
56,941,Chausana,247778
56,941,Chittora,251314
56,941,Chokra,251311
56,941,Choonsa,251305
56,941,Chorawala,251316
56,941,Dabheri Rasulpur,251305
56,941,Dakhori,247772
56,941,Dayalpuri,251201
56,941,Dedheru Kalan,251001
56,941,Dhanayan,251318
56,941,Dhimanpura,247776
56,941,Dhindawali,251318
56,941,Dudha Heri,251203
56,941,Dullakheri,247776
56,941,Dundu Khera,247775
56,941,Fahimpur Khurd,251201
56,941,Gadhla,251310
56,941,Gagaur,247778
56,941,Galibpur,251201
56,941,Gandewara,247772
56,941,Ganga Ram Pura,251001
56,941,Gangeru,247775
56,941,Ganj Bazar Kandhala So,247775
56,941,Ganna Samiti Shamli,247776
56,941,Garhi Abdulha Khan,247778
56,941,Garhi Daulat,247775
56,941,Garhi Hasanpur,247778
56,941,Garhi Pukhta Edso,247776
56,941,Garhi Sakhawatpur,251305
56,941,Ghatayan,251314
56,941,Goela,251318
56,941,Gogwan,247773
56,941,Gogwan Jalalpur,251305
56,941,Grahi Noabad,251305
56,941,Harar Fatehpur,247777
56,941,Harsauli,251001
56,941,Hasanpur Luhari Edso,247776
56,941,Hath Choya,247778
56,941,Hind,247777
56,941,Hiranwara,251305
56,941,Hussainabad Bhanwara,251305
56,941,Hussainpur Bhopara,251203
56,941,Hussainpur Kalan,251305
56,941,Islampur Ghasauli,247775
56,941,Isso Pur Teel,247775
56,941,Itawa,251305
56,941,Jandheri,251314
56,941,Jansath Lsg,251314
56,941,Jasala,247775
56,941,Jasana Urf Mastgarh,247776
56,941,Jasaula,251201
56,941,Jasoi,251301
56,941,Jat Mujhera,251308
56,941,Jaula,251305
56,941,Jauli,251308
56,941,Jeewana,251203
56,941,Jhal Nirgajani,251308
56,941,Jhinjhana So,247773
56,941,Kabarout,247776
56,941,Kachauli,251202
56,941,Kail Shikarpur,247777
56,941,Kailwara Kalan,251201
56,941,Kairana Lsg,247774
56,941,Kairtoo,247773
56,941,Kakrauli,251316
56,941,Kamruddin Nagar,251305
56,941,Kandela,247774
56,941,Kandhala Lsg,247775
56,941,Karoda,247776
56,941,Karoda Hathi,251305
56,941,Karwara,251001
56,941,Kasampur Khola,251315
56,941,Kasampur Patheri,251307
56,941,Kaserwa,251318
56,941,Kaserwa Kalan,247776
56,941,Katiya,251315
56,941,Kawal,251314
56,941,Kazi Khera,251306
56,941,Kedi,251305
56,941,Kelanpur,251327
56,941,Khai-kheri,251310
56,941,Khala Par,251002
56,941,Khandrawali,247775
56,941,Khanjapur,251201
56,941,Kharar,247776
56,941,Khatauli Lsg Po,251201
56,941,Khatauli Bazar,251201
56,941,Khera Mastan,247776
56,941,Kheri Buchha,247774
56,941,Kheri Karmu,247776
56,941,Kheri Rangdhang,251201
56,941,Khokani,251316
56,941,Khudda,251307
56,941,Khurgaon Issopur,247774
56,941,Khusropur,251311
56,941,Kinoni,251001
56,941,Kithora,251315
56,941,Kiwana,247775
56,941,Kudana,247776
56,941,Kujhera,251314
56,941,Kukara,251001
56,941,Kulheri,251311
56,941,Kuralsi,251305
56,941,Kurawa,251305
56,941,Kurmali,251305
56,941,Kurthal,251305
56,941,Kutba,251318
56,941,Kutchery Mzn,251001
56,941,Kutesra Edso,251001
56,941,Kutubpur,251315
56,941,Lachera,251003
56,941,Laddhawala,251002
56,941,Lank,247776
56,941,Lilon,247776
56,941,Lisarh Edso,247776
56,941,Loi Sarai,251305
56,941,Luhari Khurd,251311
56,941,Luhsana,251305
56,941,Maharampur,247776
56,941,Makhiyali,251001
56,941,Makhmoolpur,247775
56,941,Malandi,247776
56,941,Maleera,251202
56,941,Mansurpur Village,251203
56,941,Megha Kheri,251001
56,941,Mohamad Pur Madan,251301
56,941,Mohmand Pur Rai Singh,251305
56,941,Mundbhar,251319
56,941,Mundet Khadar,247778
56,941,Mussa Bilaspur,251001
56,941,Muzaffar Nagar City Hsg-2,251002
56,941,Nagala Pithora,251301
56,941,Nagla Bujurg,251308
56,941,Nagla Madore College,251314
56,941,Nai Abadi Budhana,251305
56,941,Nala,247771
56,941,Nasir Pur,251306
56,941,Navin Mandi Sthal,251001
56,941,Nawla,251201
56,941,Niamu,247772
56,941,Nirmana,251001
56,941,Nojal,247777
56,941,Nojjal,247772
56,941,Pachanda Kalan Edso,251001
56,941,Pamnawali,251201
56,941,Paoti,251311
56,941,Parasauli,247775
56,941,Pawati Kalan,247773
56,941,Phugana Edso,247776
56,941,Phulat,251201
56,941,Pindora,247778
56,941,Pinna Edso,251001
56,941,Pipal Hera,251305
56,941,Pipal Shah,247772
56,941,Pipalhera,251201
56,941,Pura,251203
56,941,Purbaliyan,251203
56,941,Purkazi,251327
56,941,Purmafi,247773
56,941,Rahakada,251308
56,941,Rahamatpur Garwara,251308
56,941,Rai,251307
56,941,Raipur Aterna,251305
56,941,Rajpur Chhajpur,247775
56,941,Rampuram,251001
56,941,Ramraj,251320
56,941,Rangana,247778
56,941,Rasulpur Gujran,247775
56,941,Ratheri Edso,251001
56,941,Reoli Nagla,251305
56,941,Rohana Khurd Edso,251001
56,941,Roni Hazipur,251301
56,941,Sahojani Tagan,251001
56,941,Sambhal Hera,251314
56,941,Sarai Rasulpur,251201
56,941,Sarwat,251001
56,941,Satguru Nagar,251001
56,941,Satheri,251201
56,941,Sawtoo,251319
56,941,Shamli Hsg-i,247776
56,941,Shamli Mandi So,247776
56,941,Shamli Sugar Mills Edso,247776
56,941,Sher Nagar,251001
56,941,Shoram,251318
56,941,Shukartal,251316
56,941,Sikkri,251308
56,941,Silawar,247776
56,941,Sisauli So,251319
56,941,Sonta,251301
56,941,Sonta Rasulpur,247777
56,941,South Civil Lines,251001
56,941,Sugar Mill Road Khatauli,251201
56,941,Sujroo,251003
56,941,Sunna,247775
56,941,Tahirpur Bhabisa,247775
56,941,Tana,247773
56,941,Tanda Majara,251305
56,941,Taoli Edso,251001
56,941,Taprana,247776
56,941,Tehsil Jansath,251314
56,941,Tejalhera,251310
56,941,Tendhera,251316
56,941,Tewra,251316
56,941,Thanabhawan So,247777
56,941,Tissa Edso,251001
56,941,Tissang Edso,251001
56,941,Titarwara,247774
56,941,Titauli,247776
56,941,Titawi,251301
56,941,Titoda,251201
56,941,Toda,251305
56,941,Tuglakpur,251310
56,941,Udpur,247773
56,941,Un So,247778
56,941,Vehlana,251003
56,942,Amaria,262121
56,942,Barkhera,262203
56,942,Bilsanda,262202
56,942,Bisalpur,262201
56,942,Ganesh Ganj,262122
56,942,Jugraipur,262123
56,942,Katra Bazar,262201
56,942,Kutchery,262001
56,942,Lohia Head,262301
56,942,Majhola,262302
56,942,Neorila,262305
56,942,Pilibhit,262001
56,942,Pilibhit Chowk,262001
56,942,Pilibhit City,262001
56,942,Pilibhit H O,262001
56,942,Sultanpur,262125
56,942,Abhaipur Bo,262122
56,942,Ahirwara Bo,262201
56,942,Amaria Dso,262121
56,942,Amkhera Bo,262203
56,942,Amra Karoor Bo,262201
56,942,Amrita Bo,262201
56,942,Azampur Barkhera Bo,262201
56,942,Bahadurpur Bo,262203
56,942,Bahanpur,262001
56,942,Bakania Bo,262202
56,942,Bamrauli Bo,262202
56,942,Banskhera Bo,262121
56,942,Baratbhoj,262001
56,942,Barehpura Bo,262121
56,942,Barhera Bo,262201
56,942,Barkhera Chaturaha Bo,262201
56,942,Barkhera So,262203
56,942,Bauni Bo,262201
56,942,Behtim Bo,262202
56,942,Bhaden Kanja Bo,243001
56,942,Bhadsara Bo,262121
56,942,Bhagwantapur Bo,262122
56,942,Bhairo Kalan Bo,262122
56,942,Bhikaripur,262001
56,942,Bhikaripur Bo,262201
56,942,Bhopatpura Bo,262203
56,942,Bifarcation Bo,262122
56,942,Bilsanda So,262202
56,942,Bisalpur So,262201
56,942,Bithora Kalan,262001
56,942,Chandia Hazara Bo,262122
