st,ct,as,sa
37,1061,Adbhar,495695
37,1061,Akaltara,495552
37,1061,Balco Nagar Kobra,495684
37,1061,Baloda,495559
37,1061,Bamni Bazar,495660
37,1061,Banki Mongra,495447
37,1061,Baraduar,495687
37,1061,Belghana,495116
37,1061,Berthin,174029
37,1061,Bhaisma,495674
37,1061,Bhakra Dam,174201
37,1061,Bilaspur Ho.,495001
37,1061,Bilaspur Industrial Estate,495223
37,1061,Bilaspur Kutchery,174001
37,1061,Bilaspur Rs,495004
37,1061,Bilaspur Spinning Mills,495007
37,1061,Bilaspuri H O,174001
37,1061,Bilha,495224
37,1061,Birra,495661
37,1061,C M D College Bilaspur,495001
37,1061,Chakrabhata Camp,495220
37,1061,Champa,495671
37,1061,Chandrapur,495692
37,1061,Chandrapur (bilaspur),495692
37,1061,Dabhara,495688
37,1061,Dabhra (bilaspur),495688
37,1061,Ganiyari,495112
37,1061,Gherwin,174034
37,1061,Ghumarwin,174021
37,1061,Ghutku (bilaspur),495012
37,1061,Gole Bazar Bilaspur,495001
37,1061,Gopal Nagar,495663
37,1061,H G R & T Fctry,174028
37,1061,Hardi (bilaspur),495652
37,1061,Hardi Bazar,495446
37,1061,Hardi Bazar (bilaspur),495446
37,1061,Hatwar,174028
37,1061,Hirr Mines,495222
37,1061,Hirr Mines (bilaspur),495222
37,1061,Jaijaipur,495690
37,1061,Jairam Nagar,495550
37,1061,Jamnipali,495450
37,1061,Jandutha,174031
37,1061,Janjigir,495668
37,1061,Jukhala,174033
37,1061,Kacha Tnk Nahan N Devi,174310
37,1061,Kalol,174035
37,1061,Kandraur,174004
37,1061,Kargi Road,495113
37,1061,Kargi Road (bilaspur),495113
37,1061,Katghora,495445
37,1061,Kharod,495556
37,1061,Kilaward Bilaspur,495001
37,1061,Koni (bilaspur),495009
37,1061,Korba Collierry,495679
37,1061,Korba Ho.,495677
37,1061,Korba Pragati Nagar,495680
37,1061,Korba Thermal Station,495681
37,1061,Kunda (bilaspur),495336
37,1061,Kuthera,174026
37,1061,Lehri Sarail,174027
37,1061,Machadoli,495453
37,1061,Malkharoda,495691
37,1061,Manikpur Collierry,495682
37,1061,Marwahi,495118
37,1061,Masturi,495551
37,1061,Mungeli,495334
37,1061,Mungeli (bilaspur),495334
37,1061,Namhol,174032
37,1061,Nariyara,495553
37,1061,Naswal,174022
37,1061,Nehru Nagar Bilaspur,495001
37,1061,New Bilaspur Township,174001
37,1061,Pali (ratanpur),495449
37,1061,Pali (ratnapur),495449
37,1061,Pamgarh (bilaspur),495554
37,1061,Pandaria,495337
37,1061,Panjgain,174012
37,1061,Patharia (bilaspur),495335
37,1061,Pendra,495119
37,1061,Pendra R.s.,495117
37,1061,Rajgamar Colliery,495683
37,1061,Ratanpur,495422
37,1061,Sakti,495689
37,1061,Sargaon (bilaspur),495221
37,1061,Sarkanda Bilaspur,495001
37,1061,Sawarghat,174011
37,1061,Sawhan,174010
37,1061,Seori Narajam,495557
37,1061,Takhatpur,495330
37,1061,Tallai,174030
